,movie name,movie genre,movie date,movie_runtime,movie director,Url
88,"Mortal Kombat
(2021)","Action, Fantasy, Adventure",04/23/2021,1h 50m,Greg Russo,https://www.themoviedb.org//movie/460465
89,"Desperate Riders
(2022)","Western, Action",02/25/2022,1h 30m,Michael Feifer,https://www.themoviedb.org//movie/928999
90,"Luca
(2021)","Animation, Comedy, Family, Fantasy",06/17/2021,1h 35m,Enrico Casarosa,https://www.themoviedb.org//movie/508943
91,"Jujutsu Kaisen 0
(2021)","Animation, Action, Adventure, Mystery",12/24/2021,1h 45m,Sunghoo Park,https://www.themoviedb.org//movie/810693
92,"Dune
(2021)","Science Fiction, Adventure",10/22/2021,2h 35m,Denis Villeneuve,https://www.themoviedb.org//movie/438631
93,"Pirates of the Caribbean: Dead Men Tell No Tales
(2017)","Adventure, Action, Fantasy",05/26/2017,2h 9m,Terry Rossio,https://www.themoviedb.org//movie/166426
94,"Looop Lapeta
(2022)","Action, Comedy, Crime",02/04/2022,2h 11m,Aakash Bhatia,https://www.themoviedb.org//movie/783461
95,"The Suicide Squad
(2021)","Action, Adventure, Fantasy",08/06/2021,2h 12m,James Gunn,https://www.themoviedb.org//movie/436969
96,"The Hunting
(2022)",Horror,01/21/2022,1h 31m,Mark Andrew Hamer,https://www.themoviedb.org//movie/870671
97,"Through My Window
(2022)","Romance, Drama",02/04/2022,1h 52m,Marçal Forés,https://www.themoviedb.org//movie/818647
98,"Nightmare Alley
(2021)","Crime, Drama, Thriller",12/03/2021,2h 30m,Guillermo del Toro,https://www.themoviedb.org//movie/597208
99,"Avengers: Endgame
(2019)","Adventure, Science Fiction, Action",04/26/2019,3h 1m,Joe Russo,https://www.themoviedb.org//movie/299534
100,"Echoes of a Crime
(2022)","Thriller, Horror",01/27/2022,1h 24m,Cristian Bernard,https://www.themoviedb.org//movie/842052
101,"The Conjuring: The Devil Made Me Do It
(2021)","Horror, Mystery, Thriller",06/04/2021,1h 51m,David Leslie Johnson-McGoldrick,https://www.themoviedb.org//movie/423108
102,"Doctor Strange
(2007)","Action, Animation, Fantasy, Science Fiction",08/14/2007,1h 16m,Steve Ditko,https://www.themoviedb.org//movie/14830
103,"After We Fell
(2021)","Romance, Drama",09/30/2021,1h 39m,Castille Landon,https://www.themoviedb.org//movie/744275
104,"Black Widow
(2021)","Action, Adventure, Science Fiction",07/09/2021,2h 14m,Cate Shortland,https://www.themoviedb.org//movie/497698
105,"Ron's Gone Wrong
(2021)","Animation, Science Fiction, Family, Comedy",10/22/2021,1h 47m,Sarah Smith,https://www.themoviedb.org//movie/482321
106,"Sex Appeal
(2022)","Comedy, Romance",01/14/2022,1h 30m,Talia Osteen,https://www.themoviedb.org//movie/803104
107,"American Siege
(2022)","Action, Thriller, Crime, Drama",03/31/2022,1h 30m,Edward Drake,https://www.themoviedb.org//movie/766907
108,"Nobody
(2021)","Action, Crime, Thriller",08/27/2021,1h 32m,Ilya Naishuller,https://www.themoviedb.org//movie/615457
109,"Queen of Spades
(2021)",Horror,08/19/2021,1h 31m,Patrick White,https://www.themoviedb.org//movie/829358
110,"Chernobyl: Abyss
(2021)","Drama, History, Adventure",04/15/2021,2h 16m,Danila Kozlovsky,https://www.themoviedb.org//movie/589761
111,"Godzilla vs. Kong
(2021)","Action, Fantasy, Science Fiction",03/24/2021,1h 53m,Adam Wingard,https://www.themoviedb.org//movie/399566
112,"The 355
(2022)","Action, Thriller",01/07/2022,2h 2m,Simon Kinberg,https://www.themoviedb.org//movie/522016
113,"The Avengers
(2012)","Science Fiction, Action, Adventure",04/27/2012,2h 23m,Joss Whedon,https://www.themoviedb.org//movie/24428
114,"Dragon Ball Z: Resurrection 'F'
(2015)","Action, Animation, Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org//movie/303857
115,"UMMA
(2022)","Horror, Mystery",03/18/2022,1h 23m,Iris K. Shim,https://www.themoviedb.org//movie/751237
116,"Paranormal Activity: Next of Kin
(2021)","Horror, Mystery, Thriller",10/29/2021,1h 38m,William Eubank,https://www.themoviedb.org//movie/609972
117,"Two
(2021)","Thriller, Horror",07/23/2021,1h 11m,Mike Hostench,https://www.themoviedb.org//movie/811072
118,"Diary of a Wimpy Kid
(2021)","Animation, Comedy, Family",12/03/2021,58m,Jeff Kinney,https://www.themoviedb.org//movie/774741
119,"The Last Warrior: Root of Evil
(2021)","Fantasy, Adventure, Comedy",01/01/2021,2h,Dmitriy Dyachenko,https://www.themoviedb.org//movie/589754
120,"Zack Snyder's Justice League
(2021)","Action, Adventure, Fantasy, Science Fiction",03/18/2021,4h 2m,Zack Snyder,https://www.themoviedb.org//movie/791373
121,"Space Jam: A New Legacy
(2021)","Family, Animation, Comedy, Science Fiction",07/16/2021,1h 55m,Keenan Coogler,https://www.themoviedb.org//movie/379686
122,"Fantastic Beasts and Where to Find Them
(2016)","Action, Adventure, Fantasy",11/18/2016,2h 12m,J.K. Rowling,https://www.themoviedb.org//movie/259316
123,"Marmaduke
(2022)","Animation, Family, Comedy",04/28/2022,1h 28m,Brad Anderson,https://www.themoviedb.org//movie/678287
124,"The Last: Naruto the Movie
(2014)","Action, Romance, Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org//movie/317442
125,"Deathstroke: Knights & Dragons - The Movie
(2020)","Animation, Action, Adventure, Science Fiction",08/04/2020,1h 27m,George Pérez,https://www.themoviedb.org//movie/703771
126,"Raya and the Last Dragon
(2021)","Animation, Family, Fantasy, Action, Adventure",03/05/2021,1h 47m,Don Hall,https://www.themoviedb.org//movie/527774
127,"Deep Water
(2022)","Drama, Mystery, Thriller",03/18/2022,1h 56m,Adrian Lyne,https://www.themoviedb.org//movie/619979
128,"Death on the Nile
(2022)","Crime, Drama, Mystery, Thriller",02/11/2022,2h 7m,Kenneth Branagh,https://www.themoviedb.org//movie/505026
129,"Brazen
(2022)","Thriller, Mystery, Drama",01/13/2022,1h 34m,Monika Mitchell,https://www.themoviedb.org//movie/916740
130,"Marry Me
(2022)","Romance, Comedy, Music",02/11/2022,1h 52m,Kat Coiro,https://www.themoviedb.org//movie/615904
131,"The Croods: A New Age
(2020)","Animation, Family, Adventure, Fantasy, Comedy",11/25/2020,1h 35m,Chris Sanders,https://www.themoviedb.org//movie/529203
132,"Jungle Cruise
(2021)","Action, Adventure, Fantasy",09/24/2021,2h 7m,Jaume Collet-Serra,https://www.themoviedb.org//movie/451048
133,"Dragon Ball Super: Super Hero
(2022)","Animation, Science Fiction, Action",06/11/2022,None,Akira Toriyama,https://www.themoviedb.org//movie/610150
134,"One Shot
(2021)",Action,01/21/2022,1h 37m,James Nunn,https://www.themoviedb.org//movie/811592
135,"Mobile Suit Gundam Hathaway
(2021)","Animation, Action, Drama, Science Fiction",06/11/2021,1h 36m,Shuko Murase,https://www.themoviedb.org//movie/685274
136,"Antlers
(2021)","Drama, Horror, Mystery",10/29/2021,1h 39m,Scott Cooper,https://www.themoviedb.org//movie/516329
137,"Miraculous World: Shanghai – The Legend of Ladydragon
(2021)","Animation, Comedy, Family, Adventure",05/15/2021,52m,Thomas Astruc,https://www.themoviedb.org//movie/726684
138,"Metal Lords
(2022)","Comedy, Drama, Music",04/08/2022,1h 37m,Peter Sollett,https://www.themoviedb.org//movie/739993
139,"Jurassic World Dominion
(2022)","Adventure, Action, Science Fiction, Thriller",06/10/2022,2h 26m,Colin Trevorrow,https://www.themoviedb.org//movie/507086
140,"Dark Spell
(2021)","Romance, Horror, Thriller",02/11/2021,1h 32m,Svyatoslav Podgaevsky,https://www.themoviedb.org//movie/633802
141,"Coraline
(2009)","Animation, Family, Fantasy",02/06/2009,1h 40m,Henry Selick,https://www.themoviedb.org//movie/14836
142,"Old
(2021)","Thriller, Mystery, Horror",07/23/2021,1h 48m,M. Night Shyamalan,https://www.themoviedb.org//movie/631843
143,"Curious George: Cape Ahoy
(2021)","Animation, Adventure, Comedy",09/30/2021,1h 28m,Doug Murphy,https://www.themoviedb.org//movie/918832
144,"Miraculous World: New York, United HeroeZ
(2020)","Animation, Family, Comedy, Adventure, TV Movie",11/21/2020,55m,Thomas Astruc,https://www.themoviedb.org//movie/755812
145,"The Addams Family 2
(2021)","Animation, Adventure, Comedy, Family",10/01/2021,1h 33m,Benji Samit,https://www.themoviedb.org//movie/639721
146,"My Hero Academia: Heroes Rising
(2019)","Animation, Action, Fantasy, Adventure",12/20/2019,1h 44m,Kohei Horikoshi,https://www.themoviedb.org//movie/592350
147,"Naruto Shippuden the Movie
(2007)","Animation, Action, Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org//movie/20982
148,"The Sadness
(2021)","Horror, Action",01/22/2021,1h 39m,Robert Jabbaz,https://www.themoviedb.org//movie/776797
149,"The Maze Runner
(2014)","Action, Mystery, Science Fiction, Thriller",09/18/2014,1h 53m,Wes Ball,https://www.themoviedb.org//movie/198663
150,"Meander
(2021)","Horror, Science Fiction, Drama, Thriller",05/26/2021,1h 31m,Mathieu Turi,https://www.themoviedb.org//movie/523936
151,"The Tomorrow War
(2021)","Action, Science Fiction, Adventure",07/02/2021,2h 18m,Chris McKay,https://www.themoviedb.org//movie/588228
152,"Ripper Untold
(2021)",Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org//movie/820511
153,"Harry Potter and the Philosopher's Stone
(2001)","Adventure, Fantasy",04/12/2002,2h 32m,Chris Columbus,https://www.themoviedb.org//movie/671
154,"Pursuit
(2022)","Action, Crime, Thriller",02/18/2022,1h 32m,Brian Skiba,https://www.themoviedb.org//movie/871799
155,"Mother/Android
(2021)","Science Fiction, Thriller",12/17/2021,1h 51m,Mattson Tomlin,https://www.themoviedb.org//movie/739413
156,"The Medium
(2021)","Horror, Thriller",10/28/2021,2h 11m,Banjong Pisanthanakun,https://www.themoviedb.org//movie/745881
157,"The Unholy
(2021)",Horror,04/02/2021,1h 39m,Evan Spiliotopoulos,https://www.themoviedb.org//movie/632357
158,"Finch
(2021)","Science Fiction, Drama, Adventure",11/04/2021,1h 55m,Miguel Sapochnik,https://www.themoviedb.org//movie/522402
159,"Run Gun
(2022)","Action, Thriller",01/11/2022,1h 36m,Christopher Borrelli,https://www.themoviedb.org//movie/910596
160,"Back to the Outback
(2021)","Animation, Family, Adventure, Comedy",12/03/2021,1h 32m,Harry Cripps,https://www.themoviedb.org//movie/770254
161,"No Time to Die
(2021)","Adventure, Action, Thriller",09/30/2021,2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org//movie/370172
162,"The Bubble
(2022)",Comedy,03/25/2022,2h 6m,Judd Apatow,https://www.themoviedb.org//movie/765119
163,"The Amazing Spider-Man
(2012)","Action, Adventure, Fantasy",06/29/2012,2h 16m,James Vanderbilt,https://www.themoviedb.org//movie/1930
164,"Avengers: Age of Ultron
(2015)","Action, Adventure, Science Fiction",04/24/2015,2h 21m,Joss Whedon,https://www.themoviedb.org//movie/99861
165,"Dancing on Glass
(2022)",Drama,04/08/2022,2h 17m,Jota Linares,https://www.themoviedb.org//movie/800407
166,"All Hail
(2022)","Comedy, Drama",03/30/2022,1h 58m,Marcos Carnevale,https://www.themoviedb.org//movie/682344
167,"Wrath of Man
(2021)","Action, Crime, Thriller",05/07/2021,1h 59m,Guy Ritchie,https://www.themoviedb.org//movie/637649
168,"Fantastic Beasts: The Crimes of Grindelwald
(2018)","Action, Adventure, Fantasy",11/16/2018,2h 14m,David Yates,https://www.themoviedb.org//movie/338952
169,"Ciao Alberto
(2021)","Animation, Comedy, Family, Fantasy",11/12/2021,7m,McKenna Jean Harris,https://www.themoviedb.org//movie/876716
